dc_bus_id,ac_bus_id,dc_grid,v_dc_pu,v_dc_kv,p_mw
8,7,1,1.02,21.0834,-0.250640714565618
9,0,1,1.01881559976058,21.0589184470512,0
10,0,1,1.01761891321163,21.0341829360843,0
11,12,1,1.01739284511614,21.0295101085505,0.250000068327338
16,15,3,1.00846655858526,20.8450037659574,0.280000087029204
17,0,3,1.00306979872595,20.7334527396653,0
18,33,3,1,20.67,0.894985051296526
21,20,3,1.02333556282566,21.1523460836063,-1.19999848761829
22,0,3,1.01944241660499,21.0718747512251,0
26,6,2,1,20.67,-0.763668881352597
27,0,2,0.998984320387801,20.6490059024158,0
28,29,2,0.995196522736291,20.5707121249591,0.760000615244137
